route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
152,2,"152","DARZYBÓR - RONDO RATAJE|RONDO RATAJE - DARZYBÓR","DARZYBÓR - Borówki - Kobylepole - Piwna - Abpa Dymka - Szwajcarska - Kurlandzka - Piaśnicka - Chartowo - Bobrzańska - Kurlandzka - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II|RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Żegrze - Chartowo - Piaśnicka - Kurlandzka - Szwajcarska - Abpa Dymka - Piwna - Kobylepole - Borówki - DARZYBÓR",3,525252,FFFFFF
154,2,"154","SPŁAWIE - FRANOWO|FRANOWO - SPŁAWIE","SPŁAWIE - Spławie - Gospodarska - Szczepankowo - Klenowska - Szwedzka - Szwajcarska - FRANOWO^# - Kursy na odcinku Krzesiny - Spławie - tylko w dni nauki szkolnej^S - na odcinku Krzesiny-Spławie kurs tylko w dni nauki szkolnej|FRANOWO - Szwedzka - Torowa - Ługańska - Szczepankowo - Gospodarska - Spławie - SPŁAWIE^K - w dni nauki szkolnej kurs wydłużony do pętli Krzesiny",3,525252,FFFFFF
156,2,"156","KRZYŻOWNIKI - OGRODY|OGRODY - KRZYŻOWNIKI","KRZYŻOWNIKI - Słupska - Sianowska - Dąbrowskiego - OGRODY|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Sianowska - Słupska - KRZYŻOWNIKI",3,525252,FFFFFF
157,2,"157","MOGILEŃSKA - RONDO ŚRÓDKA|RONDO ŚRÓDKA - MOGILEŃSKA","MOGILEŃSKA - Pusta - Warszawska - Browarna - Abpa Dymka - Abpa Baraniaka - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Abpa Baraniaka - Abpa Dymka - Browarna - Światopełka - Warszawska - Pusta - MOGILEŃSKA",3,525252,FFFFFF
158,2,"158","SYPNIEWO - STAROŁĘKA|STAROŁĘKA - SYPNIEWO","SYPNIEWO - Sypniewo - Głuszyna - Starołęcka - św. Antoniego - Książęca - STAROŁĘKA|STAROŁĘKA - Starołęcka - Głuszyna - Sypniewo - SYPNIEWO",3,525252,FFFFFF
159,2,"159","PORT LOTNICZY ŁAWICA - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - PORT LOTNICZY ŁAWICA","PORT LOTNICZY ŁAWICA - Bukowska - Zwierzyniecka - Dworcowa - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - Bukowska - PORT LOTNICZY ŁAWICA",3,525252,FFFFFF
160,2,"160","GARBARY - STRZESZYN|STRZESZYN - GARBARY","GARBARY - Garbary - Małe Garbary - Solna - Nowowiejskiego - al. Wielkopolska - Nad Wierzbakiem - Wojska Polskiego - Podolańska - Szczawnicka - Druskienicka - Zakopiańska - Kosowska - Strzeszyńska - Biskupińska - STRZESZYN|STRZESZYN - Strzeszyńska - Kosowska - Zakopiańska - Druskienicka - Szczawnicka - Podolańska - Wojska Polskiego - Nad Wierzbakiem - al. Wielkopolska - Nowowiejskiego - Solna - Garbary - GARBARY",3,525252,FFFFFF
161,2,"161","KRZYŻOWNIKI - OGRODY|OGRODY - KRZYŻOWNIKI","KRZYŻOWNIKI - Słupska - Dąbrowskiego - OGRODY|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Słupska - KRZYŻOWNIKI",3,525252,FFFFFF
162,2,"162","RONDO RATAJE - RONDO RATAJE","RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Piaśnicka - Chartowo - Torowa - Pokrzywno - Pabianicka - Tarnowska - Ostrowska - Chartowo - Piaśnicka - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II^S - kurs przez przystanek: Spławie",3,525252,FFFFFF
163,2,"163","GARBARY - GÓRCZYN|GÓRCZYN - GARBARY","GARBARY - Garbary - Małe Garbary - Solna - al. Niepodległości - Święty Marcin - Bukowska - Grochowska - Marcelińska - Bułgarska - Jugosłowiańska - Ściegiennego - Zgoda - GÓRCZYN|GÓRCZYN - Ściegiennego - Jugosłowiańska - Bułgarska - Marcelińska - Grochowska - Bukowska - Zwierzyniecka - Święty Marcin - al. Niepodległości - Solna - Garbary - GARBARY",3,525252,FFFFFF
164,2,"164","PUSZKINA - KACZA|KACZA - PUSZKINA","PUSZKINA - Literacka - Koszalińska - Golęcińska - Wojska Polskiego - Nad Wierzbakiem - Kościelna - Kraszewskiego - Matejki - Chociszewskiego - Arciszewskiego - Ściegiennego - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Ściegiennego - Arciszewskiego - Chociszewskiego - Matejki - Kraszewskiego - Kościelna - Nad Wierzbakiem - Wojska Polskiego - Golęcińska - Koszalińska - Literacka - PUSZKINA^W - kurs skrócony do przystanku: Wojska Polskiego",3,525252,FFFFFF
166,2,"166","ZIELINIEC - RONDO RATAJE|RONDO RATAJE - ZIELINIEC","ZIELINIEC - Sarnia - Warszawska - Browarna - Piwna - Folwarczna - Szwajcarska - Kurlandzka - Chartowo - Wiatraczna - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II|RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Bobrzańska - Żegrze - Chartowo - Kurlandzka - Szwajcarska - Folwarczna - Abpa Dymka - Browarna - Światopełka - Warszawska - Sośnicka - Sarnia - ZIELINIEC",3,525252,FFFFFF
167,2,"167","RADOJEWO - RONDO ŚRÓDKA|RONDO ŚRÓDKA - RADOJEWO","RADOJEWO - Radojewo - Naramowicka - Nowa Naramowicka - Murawa - Słowiańska - Szelągowska - Garbary - Estkowskiego - Wyszyńskiego - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Wyszyńskiego - Garbary - Szelągowska - Słowiańska - Murawa - Naramowicka - Radojewo - RADOJEWO",3,525252,FFFFFF
168,2,"168","SZARYCH SZEREGÓW I - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - SZARYCH SZEREGÓW I","SZARYCH SZEREGÓW I - Szarych Szeregów - Strzeszyńska - Juraszów - Piątkowska - Aleje Solidarności - Księcia Mieszka I - Przepadek - al. Niepodległości - Dworcowa - POZNAŃ GŁÓWNY|POZNAŃ GŁÓWNY - al. Niepodległości - Księcia Mieszka I - Aleje Solidarności - Piątkowska - Juraszów - Strzeszyńska - Szarych Szeregów - Obornicka - Szarych Szeregów - SZARYCH SZEREGÓW I",3,525252,FFFFFF
169,2,"169","OS. SOBIESKIEGO - OS. KOPERNIKA|OS. KOPERNIKA - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Stróżyńskiego - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Jaroczyńskiego - Kurpińskiego - Wiechowicza - Stoińskiego - Łużycka - Nowa Naramowicka - Murawa - Słowiańska - Księcia Mieszka I - Przepadek - al. Niepodległości - Święty Marcin - Bukowska - Przybyszewskiego - Marcelińska - Grochowska - Promienista - OS. KOPERNIKA^R - kurs skrócony do przystanku: Rondo Kaponiera|OS. KOPERNIKA - Grochowska - Marcelińska - Bukowska - Zwierzyniecka - Święty Marcin - al. Niepodległości - Księcia Mieszka I - Słowiańska - Murawa - Nowa Naramowicka - Łużycka - Stoińskiego - Wiechowicza - Kurpińskiego - Jaroczyńskiego - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO^W - kurs skrócony do przystanku: Urząd Wojewódzki",3,525252,FFFFFF
170,2,"170","POŁABSKA - PUSZKINA|PUSZKINA - POŁABSKA","POŁABSKA - Aleje Solidarności - Dojazd - Wojska Polskiego - Golęcińska - Koszalińska - Literacka - PUSZKINA|PUSZKINA - Koszalińska - Golęcińska - Wojska Polskiego - Dojazd - Aleje Solidarności - POŁABSKA",3,525252,FFFFFF
171,2,"171","OS. WICHROWE WZGÓRZE - OS. DĘBINA|OS. DĘBINA - OS. WICHROWE WZGÓRZE","OS. WICHROWE WZGÓRZE - Murawa - Aleje Solidarności - Księcia Mieszka I - Przepadek - al. Niepodległości - Towarowa - Al. Króla Przemysła II - Przemysłowa - Robocza - 28 Czerwca 1956 r. - Rolna - Wspólna - Dolna Wilda - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - OS. DĘBINA^L - kurs skrócony do przystanku: Libelta|OS. DĘBINA - Łozowa - Czechosłowacka - Dolna Wilda - Rolna - 28 Czerwca 1956 r. - Robocza - Przemysłowa - Al. Króla Przemysła II - Towarowa - Składowa - al. Niepodległości - Księcia Mieszka I - Aleje Solidarności - Murawa - OS. WICHROWE WZGÓRZE^U - kurs skrócony do przystanku: Urząd Wojewódzki",3,525252,FFFFFF
173,2,"173","JANIKOWO - RONDO ŚRÓDKA|RONDO ŚRÓDKA - JANIKOWO","JANIKOWO - Janikowska - Gnieźnieńska - Główna - Zawady - Podwale - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Podwale - Zawady - Główna - Gnieźnieńska - Bogucin/Gnieźnieńska - Janikowska - JANIKOWO^O - kurs wydłużony do przystanku: Janikowo Ogrodnicza",3,525252,FFFFFF
174,2,"174","OS. SOBIESKIEGO - UNII LUBELSKIEJ|UNII LUBELSKIEJ - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Stróżyńskiego - Szymanowskiego - Opieńskiego - Umultowska - Połabska - Aleje Solidarności - Murawa - Słowiańska - Szelągowska - Garbary - Królowej Jadwigi - Krzywoustego - Zamenhofa - Orla - Pawia - Inflancka - Kurlandzka - Obodrzycka - Unii Lubelskiej - UNII LUBELSKIEJ^M - kurs skrócony do przystanku: Małe Garbary|UNII LUBELSKIEJ - Obodrzycka - Kurlandzka - Inflancka - Pawia - Orla - Zamenhofa - Krzywoustego - Strzelecka - Kazimierza Wielkiego - Mostowa - Garbary - Szelągowska - Słowiańska - Murawa - Aleje Solidarności - Połabska - Umultowska - Opieńskiego - Szymanowskiego - Smoleńska - Stróżyńskiego - OS. SOBIESKIEGO^R - kurs skrócony do przystanku: Rondo Rataje",3,525252,FFFFFF
175,2,"175","DĘBIEC - GÓRCZYN|GÓRCZYN - DĘBIEC","DĘBIEC - Opolska - Leszczyńska - Zgoda - GÓRCZYN|GÓRCZYN - Czechosłowacka - Leszczyńska - Opolska - DĘBIEC",3,525252,FFFFFF
176,2,"176","GARBARY - OS. DĘBINA|OS. DĘBINA - GARBARY","GARBARY - Garbary - Droga Dębińska - Żelazka - Dolna Wilda - Rolna - Wspólna - Dolna Wilda - Czechosłowacka - Łozowa - 28 Czerwca 1956 r. - OS. DĘBINA|OS. DĘBINA - Łozowa - Czechosłowacka - Dolna Wilda - Rolna - Dolna Wilda - Żelazka - Droga Dębińska - Strzelecka - Kazimierza Wielkiego - Mostowa - Garbary - GARBARY",3,525252,FFFFFF
177,2,"177","JUNIKOWO - RONDO KAPONIERA|RONDO KAPONIERA - JUNIKOWO","JUNIKOWO - Grunwaldzka - Malwowa - Złotowska - Brzechwy - Leśnych Skrzatów - Bukowska - Zwierzyniecka - RONDO KAPONIERA|RONDO KAPONIERA - Bukowska - Leśnych Skrzatów - Brzechwy - Złotowska - Malwowa - Grunwaldzka - JUNIKOWO",3,525252,FFFFFF
178,2,"178","SZARYCH SZEREGÓW - RONDO ŚRÓDKA|RONDO ŚRÓDKA - SZARYCH SZEREGÓW","SZARYCH SZEREGÓW - Szarych Szeregów - Obornicka - Piątkowska - Aleje Solidarności - Murawa - Lechicka - Serbska - Prymasa Hlonda - Podwale - Jana Pawła II - RONDO ŚRÓDKA^P - kurs skrócony do przystanku: Piątkowska|RONDO ŚRÓDKA - Podwale - Prymasa Hlonda - Bałtycka - Lechicka - Murawa - Aleje Solidarności - Piątkowska - Obornicka - Szarych Szeregów - SZARYCH SZEREGÓW",3,525252,FFFFFF
179,2,"179","DĘBIEC - KACZA|KACZA - DĘBIEC","DĘBIEC - Opolska - Jesionowa - Górecka - Dmowskiego - Hetmańska - Arciszewskiego - Ściegiennego - Promienista - Mrągowska - Kacza - KACZA|KACZA - Mrągowska - Promienista - Ściegiennego - Arciszewskiego - Hetmańska - Dmowskiego - Górecka - Jesionowa - Opolska - DĘBIEC",3,525252,FFFFFF
180,2,"180","SYCOWSKA CENTRUM HANDLOWE - GÓRCZYN|GÓRCZYN - SYCOWSKA CENTRUM HANDLOWE","SYCOWSKA CENTRUM HANDLOWE - Opłotki - Marii Lange  - Sycowska - Wołowska - Krzepicka - Wołowska - Fabianowo - Lerczakówny - Kowalewicka - Modlibowskiej - Fabianowo - Głogowska - Zgoda - GÓRCZYN|GÓRCZYN - Głogowska - Lerczakówny - Fabianowo - Wołowska - Krzepicka - Wołowska - Sycowska - Marii Lange  - Opłotki - SYCOWSKA CENTRUM HANDLOWE^R - kurs skrócony do pętli: Rudnicze",3,525252,FFFFFF
181,2,"181","KRZYWOUSTEGO KINEPOLIS - RONDO RATAJE|RONDO RATAJE - KRZYWOUSTEGO KINEPOLIS","KRZYWOUSTEGO KINEPOLIS - Krzywoustego - Klenowska - Szwedzka - Szwajcarska - Abpa Dymka - Chartowo - Piaśnicka - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II|RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Piaśnicka - Chartowo - Abpa Dymka - Szwajcarska - Szwedzka - Krzywoustego - KRZYWOUSTEGO KINEPOLIS",3,525252,FFFFFF
182,2,"182","OS. WICHROWE WZGÓRZE - GÓRCZYN|GÓRCZYN - OS. WICHROWE WZGÓRZE","OS. WICHROWE WZGÓRZE - Murawa - Słowiańska - Maczka - Wojska Polskiego - Niestachowska - Żeromskiego - Dąbrowskiego - Szpitalna - Grochowska - Arciszewskiego - Ściegiennego - Zgoda - GÓRCZYN|GÓRCZYN - Ściegiennego - Arciszewskiego - Grochowska - Szpitalna - Dąbrowskiego - Żeromskiego - Niestachowska - Wojska Polskiego - Maczka - Piątkowska - Słowiańska - Murawa - OS. WICHROWE WZGÓRZE",3,525252,FFFFFF
183,2,"183","SZARYCH SZEREGÓW - RONDO ŚRÓDKA|RONDO ŚRÓDKA - SZARYCH SZEREGÓW","SZARYCH SZEREGÓW - Szarych Szeregów - Strzeszyńska - Jasielska - Druskienicka - Szczawnicka - Lutycka - Dojazd - Aleje Solidarności - Serbska - Prymasa Hlonda - Podwale - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Podwale - Prymasa Hlonda - Bałtycka - Serbska - Aleje Solidarności - Dojazd - Lutycka - Szczawnicka - Druskienicka - Jasielska - Strzeszyńska - Szarych Szeregów - SZARYCH SZEREGÓW",3,525252,FFFFFF
184,2,"184","RONDO RATAJE - NOWE ZOO|NOWE ZOO - RONDO RATAJE","RONDO RATAJE - Jana Pawła II - Zamenhofa - Orla - Pawia - Inflancka - Żegrze - Chartowo - Piaśnicka - Kurlandzka - Szwajcarska - Kurlandzka - Chartowo - Abpa Baraniaka - Jana Pawła II - Warszawska - Termalna - Krańcowa - NOWE ZOO^$ - kurs skrócony do przystanku: Rondo Śródka z pominięciem przystanku: Szwajcarska Centrum Handlowe^M - kurs skrócony do przystanku: Termy Maltańskie z pominięciem przystanku: Szwajcarska Centrum Handlowe^N - kurs z pominięciem przystanku: Szwajcarska Centrum Handlowe^S - kurs skrócony do przystanku: Rondo Śródka^T - kurs skrócony do przystanku: Termy Maltańskie|NOWE ZOO - Termalna - Jana Pawła II - Abpa Baraniaka - Chartowo - Kurlandzka - Szwajcarska - Kurlandzka - Piaśnicka - Chartowo - Bobrzańska - Kurlandzka - Inflancka - Pawia - Orla - Zamenhofa - Krzywoustego - RONDO RATAJE^# - kurs do przystanku Rondo Rataje na ul. Jana Pawła II z pominięciem przystanku: Szwajcarska Centrum Handlowe^* - kurs z pominięciem przystanku: Szwajcarska Centrum Handlowe^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II",3,525252,FFFFFF
185,2,"185","OS. SOBIESKIEGO - RONDO ŚRÓDKA|RONDO ŚRÓDKA - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Stróżyńskiego - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Jaroczyńskiego - Kurpińskiego - Wiechowicza - Umultowska - Lechicka - Murawa - Aleje Solidarności - Serbska - Bałtycka - Gdyńska - Główna - Zawady - Podwale - Jana Pawła II - RONDO ŚRÓDKA|RONDO ŚRÓDKA - Podwale - Zawady - Główna - Gdyńska - Bałtycka - Serbska - Murawa - Lechicka - Umultowska - Wiechowicza - Kurpińskiego - Jaroczyńskiego - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO",3,525252,FFFFFF
186,2,"186","KIEKRZ - OGRODY|OGRODY - KIEKRZ","KIEKRZ - Wilków Morskich - Chojnicka - Słupska - Sianowska - Dąbrowskiego - OGRODY^P - kurs z wjazdem na przystanek: Psarskie/Przejazd Kolejowy|OGRODY - Szpitalna - Nowina - Dąbrowskiego - Sianowska - Słupska - Chojnicka - Wilków Morskich - KIEKRZ^P - kurs z wjazdem na przystanek: Psarskie/Przejazd Kolejowy",3,525252,FFFFFF
188,2,"188","OS. SOBIESKIEGO - OS. SOBIESKIEGO|RADOJEWO - OS. SOBIESKIEGO|OS. SOBIESKIEGO - OS. SOBIESKIEGO|OS. SOBIESKIEGO - RADOJEWO","OS. SOBIESKIEGO - Stróżyńskiego - Szeligowskiego - Opieńskiego - Umultowska - Uniwersytetu Poznańskiego - Krygowskiego - Dzięgielowa - Naramowicka - Radojewo - Jaśkowiaka - Morasko - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO^S - Kurs wykonywany tylko w dni nauki szkolnej |RADOJEWO - Radojewo - Jaśkowiaka - Morasko - Stróżyńskiego - Szymanowskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO^S - Kurs wykonywany tylko w dni nauki szkolnej |OS. SOBIESKIEGO - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Morasko - Jaśkowiaka - Radojewo - Naramowicka - Krygowskiego - Uniwersytetu Poznańskiego - Umultowska - Opieńskiego - Szeligowskiego - Stróżyńskiego - OS. SOBIESKIEGO^R - kurs skrócony do przystanku Radojewo przez przystanek Morasko^S - Kurs wykonywany tylko w dni nauki szkolnej |OS. SOBIESKIEGO - Szeligowskiego - Szymanowskiego - Stróżyńskiego - Morasko - Jaśkowiaka - Radojewo - RADOJEWO^R - kurs skrócony do przystanku Radojewo przez przystanek Morasko^S - Kurs wykonywany tylko w dni nauki szkolnej ",3,525252,FFFFFF
189,2,"189","STAROŁĘKA - STAROŁĘKA","STAROŁĘKA - Książęca - św. Antoniego - Minikowo - Sandomierska - Ożarowska - Czernichowska - Starołęcka - Książęca - STAROŁĘKA",3,525252,FFFFFF
190,2,"190","RONDO STAROŁĘKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - RONDO STAROŁĘKA","RONDO STAROŁĘKA - Starołęcka - Zamenhofa - Krzywoustego - Strzelecka - Kazimierza Wielkiego - Mostowa - Garbary - Szelągowska - Słowiańska - Piątkowska - Wojciechowskiego - Jaroczyńskiego - Stróżyńskiego - OS. SOBIESKIEGO^M - kurs skrócony do przystanku: Małe Garbary|OS. SOBIESKIEGO - Jaroczyńskiego - Wojciechowskiego - Piątkowska - Słowiańska - Szelągowska - Garbary - Królowej Jadwigi - Krzywoustego - Zamenhofa - Starołęcka - RONDO STAROŁĘKA^M - kurs skrócony do przystanku: Małe Garbary",3,525252,FFFFFF
191,2,"191","OS. SOBIESKIEGO - OS. KOPERNIKA|OS. KOPERNIKA - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Stróżyńskiego - Szymanowskiego - Opieńskiego - Umultowska - Połabska - Aleje Solidarności - Witosa - Niestachowska - Żeromskiego - Dąbrowskiego - Szpitalna - Bukowska - Bułgarska - Jugosłowiańska - Promienista - OS. KOPERNIKA|OS. KOPERNIKA - Jugosłowiańska - Bułgarska - Bukowska - Szpitalna - Dąbrowskiego - Żeromskiego - Niestachowska - Witosa - Aleje Solidarności - Połabska - Umultowska - Opieńskiego - Szymanowskiego - Smoleńska - Stróżyńskiego - OS. SOBIESKIEGO",3,525252,FFFFFF
193,2,"193","OS. SOBIESKIEGO - GÓRCZYN|GÓRCZYN - OS. SOBIESKIEGO","OS. SOBIESKIEGO - Jaroczyńskiego - Wojciechowskiego - Piątkowska - Aleje Solidarności - Witosa - Niestachowska - Żeromskiego - Dąbrowskiego - Szpitalna - Bukowska - Kolorowa - Bułgarska - Grunwaldzka - Jawornicka - Promienista - Ściegiennego - Zgoda - GÓRCZYN|GÓRCZYN - Ściegiennego - Promienista - Jawornicka - Grunwaldzka - Bułgarska - Bukowska - Szpitalna - Dąbrowskiego - Żeromskiego - Niestachowska - Witosa - Aleje Solidarności - Piątkowska - Wojciechowskiego - Jaroczyńskiego - Stróżyńskiego - OS. SOBIESKIEGO",3,525252,FFFFFF
194,2,"194","STAROŁĘKA - STAROŁĘKA","STAROŁĘKA - Książęca - Starołęcka - Czernichowska - Ożarowska - Sandomierska - Minikowo - św. Antoniego - Książęca - STAROŁĘKA",3,525252,FFFFFF
195,2,"195","OGRODY - KIEKRZ|KIEKRZ - OGRODY","OGRODY - Dąbrowskiego - Żeromskiego - Niestachowska - Wojska Polskiego - Golęcińska - Koszalińska - Psarskie - Chojnicka - Wilków Morskich - KIEKRZ|KIEKRZ - Chojnicka - Psarskie - Koszalińska - Golęcińska - Wojska Polskiego - Niestachowska - Żeromskiego - Przybyszewskiego - Szpitalna - OGRODY",3,525252,FFFFFF
196,2,"196","RONDO RATAJE - RONDO RATAJE","RONDO RATAJE - Jana Pawła II - Piłsudskiego - Inflancka - Piaśnicka - Chartowo - Torowa - Ostrowska - Tarnowska - Pabianicka - Pokrzywno - Torowa - Chartowo - Piaśnicka - Inflancka - Piłsudskiego - Krzywoustego - RONDO RATAJE^R - kurs do przystanku Rondo Rataje na ul. Jana Pawła II",3,525252,FFFFFF
198,2,"198","UAM OS. RÓŻANY POTOK - OS. SOBIESKIEGO|OS. SOBIESKIEGO - UAM OS. RÓŻANY POTOK","UAM OS. RÓŻANY POTOK - Krygowskiego - Uniwersytetu Poznańskiego - Umultowska - Opieńskiego - Szymanowskiego - Smoleńska - OS. SOBIESKIEGO^F - kurs z wjazdem na przystanek: UAM Wydzał Fizyki z pominięciem przystanków: UAM Wydział Biologii i UAM Wydział Historyczny|OS. SOBIESKIEGO - Stróżyńskiego - Szymanowskiego - Opieńskiego - Umultowska - Uniwersytetu Poznańskiego - Krygowskiego - UAM OS. RÓŻANY POTOK^F - kurs z wjazdem na przystanek: UAM Wydzał Fizyki z pominięciem przystanków: UAM Wydział Biologii i UAM Wydział Historyczny^T - kurs wydłużony do pętli: Radojewo z pominięciem przystanków: UAM Wydział Biologii i UAM Wydział Historyczny",3,525252,FFFFFF
201,2,"201","UNII LUBELSKIEJ - OS. SOBIESKIEGO|OS. SOBIESKIEGO - UNII LUBELSKIEJ","UNII LUBELSKIEJ - Unii Lubelskiej - Żegrze - Chartowo - Trasa Kórnicka - Warczygłowy - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Os. Lecha, Rondo Śródka, Most Tea tralny, Rynek Jeżycki, Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Warczygłowy - Trasa Kórnicka - Chartowo - Żegrze - Unii Lubelskiej - UNII LUBELSKIEJ^F - zjazd do zajezdni Franowo przez przystanek: Most Teatralny, Rondo Śródka, Os. L echa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,000000,FFFFFF
211,2,"211","STAROŁĘKA - GARBARY|GARBARY - STAROŁĘKA","STAROŁĘKA - Starołęcka - Forteczna - Obodrzycka - Unii Lubelskiej - Inflancka - Pawia - Orla - Zamenhofa - Krzywoustego - Strzelecka - Kazimierza Wielkiego - Mostowa - Garbary - GARBARY|GARBARY - Krzywoustego - Jana Pawła II - Zamenhofa - Orla - Pawia - Inflancka - Unii Lubelskiej - Obodrzycka - Forteczna - Starołęcka - STAROŁĘKA^M - kurs do pętli Starołęka z wjazdem na przystanek: Rondo Minikowo",3,000000,FFFFFF
212,2,"212","SZWAJCARSKA SZPITAL - KACZA|KACZA - SZWAJCARSKA SZPITAL","SZWAJCARSKA SZPITAL - Szwajcarska - Kurlandzka - Chartowo - Piaśnicka - Inflancka - Piłsudskiego - Krzywoustego - Królowej Jadwigi - Towarowa - Składowa - Święty Marcin - Roosevelta - Bukowska - Grochowska - Marcelińska - Bułgarska - Jugosłowiańska - Promienista - Kacza - KACZA^R - kurs skrócony do przystanku: Rondo Kaponiera|KACZA - Promienista - Jugosłowiańska - Bułgarska - Marcelińska - Grochowska - Bukowska - Zwierzyniecka - Roosevelta - al. Niepodległości - Towarowa - al. Niepodległości - Królowej Jadwigi - Krzywoustego - Jana Pawła II - Piłsudskiego - Inflancka - Piaśnicka - Chartowo - Kurlandzka - Szwajcarska - SZWAJCARSKA SZPITAL^R - kurs skrócony do przystanku: Rondo Kaponiera",3,000000,FFFFFF
213,2,"213","DĘBIEC - MOGILEŃSKA|MOGILEŃSKA - DĘBIEC","DĘBIEC - Opolska - Leszczyńska - Zgoda - Głogowska - Roosevelta - al. Niepodległości - Solna - Estkowskiego - Wyszyńskiego - Jana Pawła II - Warszawska - Pusta - MOGILEŃSKA^R - kurs skrócony do przystanku: Rondo Kaponiera|MOGILEŃSKA - Warszawska - Jana Pawła II - Wyszyńskiego - Małe Garbary - Solna - al. Niepodległości - Roosevelta - Głogowska - Zgoda - Czechosłowacka - Leszczyńska - Opolska - DĘBIEC^R - kurs skrócony do przystanku: Rondo Kaponiera",3,000000,FFFFFF
214,2,"214","JUNIKOWO - RADOJEWO|RADOJEWO - JUNIKOWO","JUNIKOWO - Grunwaldzka - Matejki - Wyspiańskiego - Głogowska - Roosevelta - al. Niepodległości - Solna - Garbary - Szelągowska - Słowiańska - Murawa - Naramowicka - Krygowskiego - Dzięgielowa - Naramowicka - Radojewo - RADOJEWO^R - kurs skrócony do przystanku: Rondo Kaponiera|RADOJEWO - Naramowicka - Nowa Naramowicka - Murawa - Słowiańska - Szelągowska - Garbary - Małe Garbary - Solna - al. Niepodległości - Roosevelta - Głogowska - Berwińskiego - Wyspiańskiego - Grunwaldzka - JUNIKOWO^R - kurs skrócony do przystanku: Rondo Kaponiera",3,000000,FFFFFF
