route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
10,2,"10","POŁABSKA - DĘBIEC|DĘBIEC - POŁABSKA","POŁABSKA - Aleje Solidarności - Murawa - Winogrady - Pułaskiego - Roosevelta - Matyi - Górna Wilda - 28 Czerwca 1956 r. - DĘBIEC^G - zjazd do zajezdni Głogowska przez przystanek: Most Dworcowy, Poznań Główny, Pam iątkowa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|DĘBIEC - Górna Wilda - Matyi - Roosevelta - Pułaskiego - Winogrady - Murawa - Aleje Solidarności - POŁABSKA^G - zjazd do zajezdni Głogowska przez przystanek: Traugutta ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,F1B434,000000
11,2,"11","PIĄTKOWSKA - UNII LUBELSKIEJ|UNII LUBELSKIEJ - PIĄTKOWSKA","PIĄTKOWSKA - Bronowa - Witosa - os. Winiary - Winiarska - Wołyńska - Małopolska - al. Wielkopolska - Pułaskiego - Roosevelta - Bukowska - Grunwaldzka - Reymonta - Hetmańska - Unii Lubelskiej - UNII LUBELSKIEJ^F - zjazd do zajezdni Franowo przez przystanek: Bałtyk, Rondo Nowaka-Jeziorańskiego , Traugutta, Rondo Starołęka^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Bałtyk, Rondo Now aka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przytanek: Bałtyk, Rondo Nowaka-J eziorańskiego, Traugutta, Rondo S|UNII LUBELSKIEJ - Hetmańska - Reymonta - Grunwaldzka - Bukowska - Roosevelta - Pułaskiego - al. Wielkopolska - Małopolska - Wołyńska - Winiarska - os. Winiary - Witosa - Bronowa - PIĄTKOWSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przytanek: Rondo Starołęka",0,3CDBC0,000000
12,2,"12","STAROŁĘKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - STAROŁĘKA","STAROŁĘKA - Starołęcka - Hetmańska - Głogowska - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha ^H - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Głogowska - Hetmańska - Starołęcka - STAROŁĘKA^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni, Park Wilsona^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,CBA3D8,000000
13,2,"13","JUNIKOWO - PL. WIELKOPOLSKI|PL. WIELKOPOLSKI - JUNIKOWO|PL. WIELKOPOLSKI - JUNIKOWO","JUNIKOWO - Grunwaldzka - Bukowska - Święty Marcin - Gwarna - pl. Ratajskiego - pl. Wielkopolski - PL. WIELKOPOLSKI^F - zjazd do zajezdni Franowo przez przystanek: Plac Wielkopolski, Rondo Śródka, Os . Lecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego, Aren a^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Plac Wielkopolski, Ro ndo Śródka, Os. Lecha, Rondo Starołęka|PL. WIELKOPOLSKI - pl. Ratajskiego - Gwarna - Święty Marcin - Bukowska - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|PL. WIELKOPOLSKI - pl. Wielkopolski - pl. Ratajskiego - Gwarna - Święty Marcin - Bukowska - Grunwaldzka - JUNIKOWO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,AD841F,FFFFFF
14,2,"14","OS. SOBIESKIEGO - GÓRCZYN|GÓRCZYN - OS. SOBIESKIEGO","OS. SOBIESKIEGO - trasa PST - Głogowska - GÓRCZYN^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Dworzec Zachodni ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Dworzec Zachodni, Gło gowska/Hetmańska, Traugutta, Rondo Starołęka|GÓRCZYN - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Głogowska/Hetmańska, Traugutta, Ron do Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Głogowska/Hetmańska, Traugutta, Rondo Starołęka",0,946037,FFFFFF
15,2,"15","BUDZISZYŃSKA - OS. SOBIESKIEGO|OS. SOBIESKIEGO - BUDZISZYŃSKA|OS. SOBIESKIEGO - BUDZISZYŃSKA","BUDZISZYŃSKA - Grunwaldzka - Bukowska - Roosevelta - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Rondo Nowaka-Jeziorańskiego, Głogow ska/Hetmańska, Traugutta, Rondo Starołęka, Os. Czecha^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Roosevelta - Bukowska - Grunwaldzka - BUDZISZYŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Bałtyk, Rondo Nowa ka-Jeziorańskiego, Traugutta, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Rondo Nowaka-Jeziorańskiego^J - kurs wydłużony do pętli Junikowo ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - trasa PST - Roosevelta - Bukowska - Grunwaldzka - BUDZISZYŃSKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Kaponiera, Bałtyk, Rondo Nowa ka-Jeziorańskiego, Traugutta, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Rondo Nowaka-Jeziorańskiego^J - kurs wydłużony do pętli Junikowo ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,A2AAAD,000000
16,2,"16","FRANOWO - OS. SOBIESKIEGO|OS. SOBIESKIEGO - FRANOWO","FRANOWO - Szwajcarska - Piaśnicka - Trasa Kórnicka - Warczygłowy - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Roosevelta - trasa PST - OS. SOBIESKIEGO^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OS. SOBIESKIEGO - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Warczygłowy - Trasa Kórnicka - Piaśnicka - Szwajcarska - FRANOWO^G - zjazd do zajezdni Głogowska przez przystanek: Most Teatralny, Bałtyk, Rondo Now aka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,440099,FFFFFF
17,2,"17","STAROŁĘKA - OGRODY|OGRODY - STAROŁĘKA","STAROŁĘKA - Starołęcka - Hetmańska - Żegrze - Chartowo - Trasa Kórnicka - Warczygłowy - Jana Pawła II - Wyszyńskiego - Małe Garbary - pl. Wielkopolski - pl. Ratajskiego - Fredry - Dąbrowskiego - OGRODY^F - zjazd do zajezdni Franowo przez przystanek: Rondo Starołęka, Os. Czecha ^H - zjazd do zajezdni Głogowska przez przystanek: Rondo Starołęka, Traugutta ^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Fredry - pl. Ratajskiego - pl. Wielkopolski - Małe Garbary - Wyszyńskiego - Jana Pawła II - Warczygłowy - Trasa Kórnicka - Chartowo - Żegrze - Hetmańska - Starołęcka - STAROŁĘKA^F - zjazd do zajezdni Franowo przez przystanek: Rondo Śródka, Kórnicka, Os. Lecha ^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowaka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,004F71,FFFFFF
18,2,"18","RONDO RATAJE - OGRODY|OGRODY - RONDO RATAJE","RONDO RATAJE - Krzywoustego - Królowej Jadwigi - Matyi - Roosevelta - Dąbrowskiego - OGRODY^A - kurs do  Rondo Rataje^G - zjazd do zajezdni Głogowska przez przystanek: AWF, Rynek Wildecki, Pamiątkowa^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych|OGRODY - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - RONDO RATAJE^F - zjazd do zajezdni Franowo przez przystanek: Most Teatralny, Poznań Główny, Ryne k Wildecki, Traugutta, Rondo Żegrze^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Nowka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Most Teatralny, Pozna ń Główny, Rynek Wildecki, Rondo Starołęka",0,FEDB00,000000
92,2,"92","RONDO RATAJE - OS. SOBIESKIEGO|OS. SOBIESKIEGO - RONDO RATAJE","RONDO RATAJE - Królowej Jadwigi - Matyi - Roosevelta - trasa PST - OS. SOBIESKIEGO^F - zjazd do zajezdni Franowo przez przystanek: Półwiejska, Pamiątkowa, Rondo Staro łęka, Os. Czecha^M - kurs do pętli Starołęka Mała przez przystanek: Półwiejska, Pamiątkowa, Rondo St arołęka^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych^S - zjazd do zajezdni Forteczna (Starołęka) przez przystanek: Półwiejska, Pamiątkow a, Rondo Starołęka|OS. SOBIESKIEGO - Roosevelta - Matyi - Królowej Jadwigi - Krzywoustego - RONDO RATAJE^F - zjazd do zajezdni Franowo przez przystanek: Most Dworcowy, Półwiejska, Pamiątko wa, Rondo Starołęka, Os. Czecha^G - zjazd do zajezdni Głogowska przez przystanek: Rondo Kaponiera, Bałtyk, Rondo No waka-Jeziorańskiego^N - kurs obsługiwany taborem niskopodłogowym - z wyjątkiem sytuacji awaryjnych",0,FFFFFF,000000
